mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
cfm007mjr,MC_hit_vs_miss,VISpm,135,"{0.0: 82, 1.0: 53}",0.6761363636363636,0.6988636363636362,53,0.0297029702970297,0.019801980198019802,0.4921875,0.0935728137930387,0.4700000000000001,0.11281258227258281
cfm007mjr,MC_hit_vs_miss,ALL_REGIONS_COMBINED,135,"{0.0: 82, 1.0: 53}",0.5227272727272727,0.6420454545454546,53,0.45544554455445546,0.12871287128712872,0.4961931818181818,0.10554749222349824,0.4917045454545454,0.12962373033878535
cmm004mjr,HC_hit_vs_MC_hit,M1,301,"{0.0: 139, 1.0: 162}",0.5627705627705628,0.6071428571428572,139,0.15841584158415842,0.10891089108910891,0.4969859307359307,0.06128218705439289,0.4963744588744589,0.0777035739638644
cmm004mjr,HC_hit_vs_MC_hit,V1,301,"{0.0: 139, 1.0: 162}",0.46645021645021645,0.48484848484848486,139,0.6534653465346535,0.5544554455445545,0.49969696969696975,0.06945157419219816,0.4998484848484848,0.08338054827064423
cmm004mjr,HC_hit_vs_MC_hit,VISa,301,"{0.0: 139, 1.0: 162}",0.6011904761904762,0.5692640692640693,139,0.019801980198019802,0.13861386138613863,0.48923701298701305,0.05463658035840659,0.48507575757575766,0.07371016515756379
cmm004mjr,HC_hit_vs_MC_hit,VISam,301,"{0.0: 139, 1.0: 162}",0.5665584415584416,0.6190476190476191,139,0.1782178217821782,0.0891089108910891,0.5001515151515151,0.07185740026539755,0.4923160173160174,0.08747367598843497
cmm004mjr,HC_hit_vs_MC_hit,VISpm,301,"{0.0: 139, 1.0: 162}",0.5297619047619048,0.6179653679653679,139,0.3069306930693069,0.039603960396039604,0.503625541125541,0.06264212397057937,0.5023484848484848,0.07006822403470384
cmm004mjr,HC_hit_vs_MC_hit,ALL_REGIONS_COMBINED,301,"{0.0: 139, 1.0: 162}",0.6271645021645023,0.6060606060606061,139,0.0297029702970297,0.0891089108910891,0.4974296536796537,0.061220092871003946,0.49758658008658,0.07276959301948933
cmm004mjr,HC_vs_LC_noreport,M1,235,"{0.0: 75, 1.0: 160}",0.5458333333333334,0.6375,75,0.36633663366336633,0.13861386138613863,0.5078854166666666,0.08392178368522515,0.5093125,0.09324747492485312
cmm004mjr,HC_vs_LC_noreport,V1,235,"{0.0: 75, 1.0: 160}",0.459375,0.49375,75,0.7227722772277227,0.48514851485148514,0.4948541666666666,0.06914655518353754,0.4930208333333333,0.08074542846966633
cmm004mjr,HC_vs_LC_noreport,VISa,235,"{0.0: 75, 1.0: 160}",0.41666666666666663,0.3916666666666667,75,0.8316831683168316,0.8811881188118812,0.48784375,0.07986561724907902,0.486375,0.08571564545052437
cmm004mjr,HC_vs_LC_noreport,VISam,235,"{0.0: 75, 1.0: 160}",0.41666666666666663,0.4020833333333333,75,0.8217821782178217,0.8415841584158416,0.5033020833333333,0.08058246819059034,0.5074375000000002,0.09982504443539095
cmm004mjr,HC_vs_LC_noreport,VISpm,235,"{0.0: 75, 1.0: 160}",0.5947916666666666,0.5916666666666667,75,0.18811881188118812,0.22772277227722773,0.5095624999999999,0.08056446640130982,0.5150416666666666,0.089151371351701
cmm004mjr,HC_vs_LC_noreport,ALL_REGIONS_COMBINED,235,"{0.0: 75, 1.0: 160}",0.47916666666666663,0.46875,75,0.6633663366336634,0.6534653465346535,0.5126874999999999,0.08039944493917715,0.5067708333333334,0.09943083468128319
cmm004mjr,LC_noreport_vs_corr_rej,M1,106,"{0.0: 75, 1.0: 31}",0.34375,0.3229166666666667,31,0.8910891089108911,0.8712871287128713,0.49635416666666665,0.12132063199030814,0.4938541666666667,0.13948297853890032
cmm004mjr,LC_noreport_vs_corr_rej,V1,106,"{0.0: 75, 1.0: 31}",0.3020833333333333,0.38541666666666663,31,0.9603960396039604,0.7821782178217822,0.5034375,0.1226608832281325,0.495,0.15088339408666254
cmm004mjr,LC_noreport_vs_corr_rej,VISa,106,"{0.0: 75, 1.0: 31}",0.5625,0.46875,31,0.26732673267326734,0.6732673267326733,0.48583333333333334,0.11984618324706421,0.5042708333333333,0.149210123732626
cmm004mjr,LC_noreport_vs_corr_rej,VISam,106,"{0.0: 75, 1.0: 31}",0.3645833333333333,0.3333333333333333,31,0.8613861386138614,0.900990099009901,0.4859375,0.1123008944105819,0.49333333333333335,0.13091491617756082
cmm004mjr,LC_noreport_vs_corr_rej,VISpm,106,"{0.0: 75, 1.0: 31}",0.5416666666666666,0.5625,31,0.38613861386138615,0.38613861386138615,0.5101041666666666,0.11992705211861547,0.5088541666666667,0.12774227220320958
